ProductCategory,Region,CustomerSegment,IsPromotionApplied,ProductionCost,MarketingSpend,SeasonalDemandIndex,CompetitorPrice,CustomerRating,EconomicIndex,StoreCount,SalesRevenue
Furniture,East,High Income,Yes,536.0515214944497,189.27781080837988,1.1596114607913504,220.83135101748326,4.0356071036660595,146.22575729638726,52,2293.1437065100836
Toys,West,High Income,No,352.7013612258245,255.9214966465702,1.5453660672011096,467.2171749709735,4.106804129160162,104.26130441957444,35,1640.4543681511007
Electronics,South,High Income,No,618.9891053874991,277.39935268373694,1.671902161767941,363.62326087765325,4.021775188715999,77.22075234804215,44,2173.08602274384
Furniture,West,Middle Income,Yes,339.959643824213,153.55769914936158,1.4082442202109704,209.85362080262033,4.148890481585323,128.27745545860014,15,1672.60885700909
Furniture,West,Middle Income,Yes,477.95138458325886,155.81447820515925,2.177300527179014,274.85995033600994,4.913781626036952,111.3096433936089,61,2443.222481617167
Toys,East,Middle Income,Yes,473.5385296627871,211.52483106058568,0.8893145412956267,373.8094528442839,2.9833484671974806,107.56065506717172,44,1508.9994244370469
Electronics,West,High Income,No,661.8381328847836,286.68813457607706,2.3669674034936685,280.9797809555643,3.8807721527905583,131.66477216117363,21,2032.6134369697843
Electronics,East,Middle Income,Yes,473.89538081198475,203.0072338641508,1.8357787787541582,394.25898675348753,3.5338229365878386,77.24727060267148,77,2275.6295983707346
Furniture,North,Low Income,Yes,473.5357313699275,136.04192923228348,1.3767897065827652,269.9144953777505,4.590401530283115,85.67636110330682,47,2118.5021775248447
Clothing,North,Low Income,No,363.69216551023067,169.70657769183535,1.3823850030343559,293.7067813709968,3.92955891517281,111.88530690019098,75,2199.659394878796
Furniture,East,Middle Income,No,435.9602320941394,210.13320822317309,0.39158924804807915,376.01200241686684,4.27985238776699,85.23043145948361,49,1992.0081037611865
Furniture,North,Low Income,Yes,418.27045391193576,212.0101214281978,1.0758836149159494,348.27127945439895,4.713653388912934,93.67981249025212,53,2129.990759390808
